Produto;Refer?ncia;Saldo;
2 QUEIJOS;;69,0000
A?ai no Kg;;-3,0000
ACAI POTE 1L;;-39,0000
ACEM KG;;-2,9500
Ag. Puro Coco 200Ml;62;-11,0000
?gua;;10,0000
Agua Mineral;ag123;-123,0000
Agua RCM 500ml;;-10,0000
Agua RCM 500ml;;0,0000
Alcool em Gel RCM;;-4,0000
Alface;5;-18,0000
Algod?o;;0,0500
Amaciante Confort Explos?O Azul 1,8L;84;-524,0000
Amendoim Doce Efat? 48G;100;-2,0000
Amendoim Japones Elma Chips;123;-13,0000
Amendoim Sem Pele Elma Chips;110;-30,0000
AMOSTRA GR?TIS;;687,0000
Azeitona;47;3,5000
Azeitona Preta;48;-8,0000
Bacon;14;-15,0000
Bala;;-1,0000
Balde De Batata Frita Especial com Cheddar Tamanho Grande 2 Kgs Extra Flavor;29;-45,0000
Bananinha;;49,0000
Barr Choc Linea Zero Dark;65;16,0000
Batata Especial Com Catupiry;28;-18,0000
Batata Frita | Grande;32;-39,0000
Batata Frita | Grande;33;0,0000
Batata Frita | M?dio;32;-16,0000
Batata Ondulada Alho Na Manteiga Mix 36G;141;-8,0000
Batata Ondulada Cebola E Salsa Mix 36G;133;30,0000
Batata Ondulada Cebola E Salsa Mix 36G;140;-3,0000
Batata Ondulada Cheddar C/ Bacon Mix 36G;76;-4,0000
Batata Ondulada Churrasco Mix 36G;136;-2,0000
Batata Ondulada Churrasco Mix 36G.;126;-4,0000
Batata Ondulada Costelinha Com Lim?o Mix 36G;132;0,0000
Batata Ondulada Frango Grelhado Mix 36G;127;-7,0000
Batata Ondulada Frango Grelhado Mix 36G;137;0,0000
Batata Ondulada Mix Cheddar Com Bacon 36G;134;-1,0000
Batata Ondulada Original  Mix 36G;139;0,0000
Batata Ondulada Original Mix;70;0,0000
Batata Ondulada Original Mix 36G;124;0,0000
Batata Palito Morixe Tradicional 400G;85;-4,0000
Bebida Lacta Whey 15G Italac 250Ml Chocolate;87;0,0000
Bermuda Praia Draw | Thxlg Vermelho | G;Thum0um02934;1,0000
Bermuda Praia Draw | Thxlg Vermelho | GG;Thum0um02934;0,0000
Bermuda Praia Draw | Thxlg Vermelho | M;Thum0um02934;0,0000
Bermuda Praia Draw | Thycf Branco Cl?ssico | G;Thum0um02934;1,0000
Bermuda Praia Draw | Thycf Branco Cl?ssico | GG;Thum0um02934;1,0000
Bermuda Praia Draw | Thycf Branco Cl?ssico | M;Thum0um02934;0,0000
Bermuda Praia Draw. | Thdw5 Azul Marinho | G;Thum0um02933;1,0000
Bermuda Praia Draw. | Thdw5 Azul Marinho | GG;Thum0um02933;1,0000
Bermuda Praia Draw. | Thdw5 Azul Marinho | M;Thum0um02933;0,0000
Bermuda Praia Draw. | Thxlg Vermelho | G;Thum0um02933;1,0000
Bermuda Praia Draw. | Thxlg Vermelho | GG;Thum0um02933;0,0000
Bermuda Praia Draw. | Thxlg Vermelho | M;Thum0um02933;0,0000
Big Burger Salad;24;-43,0000
Biquini Cortinha Regulagem | Cores | G;385;-6,0000
Biquini Cortinha Regulagem | Cores | M;384;-16,0000
Biquini Cortinha Regulagem | Cores | P;383;-12,0000
Biquini Cortinhina | Marrom Claro/Off | G;373;0,0000
Biquini Cortinhina | Marrom Claro/Off | M;372;-7,0000
Biquini Cortinhina | Marrom Claro/Off | P;371;0,0000
Biquini Cortinhina | Marrom/Off | G;376;0,0000
Biquini Cortinhina | Marrom/Off | M;375;0,0000
Biquini Cortinhina | Marrom/Off | P;374;-1,0000
Biquini Cortinhina | Off/Marrom | G;370;-1,0000
Biquini Cortinhina | Off/Marrom | M;369;0,0000
Biquini Cortinhina | Off/Marrom | P;368;0,0000
Biquini Cortinhina | Verde Claro/Off | G;379;0,0000
Biquini Cortinhina | Verde Claro/Off | M;378;0,0000
Biquini Cortinhina | Verde Claro/Off | P;377;0,0000
Biquini Cortinhina | Verde/Off | G;382;0,0000
Biquini Cortinhina | Verde/Off | M;381;0,0000
Biquini Cortinhina | Verde/Off | P;380;0,0000
Biquini Marina | Champagne | G;343;0,0000
Biquini Marina | Champagne | M;342;0,0000
Biquini Marina | Champagne | P;341;0,0000
Biquini Marina | Marrom | G;331;0,0000
Biquini Marina | Marrom | G;346;0,0000
Biquini Marina | Marrom | M;330;0,0000
Biquini Marina | Marrom | M;345;0,0000
Biquini Marina | Marrom | P;329;-1,0000
Biquini Marina | Marrom | P;344;0,0000
Biquini Marina | Marrom Textura | G;340;0,0000
Biquini Marina | Marrom Textura | M;339;0,0000
Biquini Marina | Marrom Textura | P;338;0,0000
Biquini Marina | Off | G;328;0,0000
Biquini Marina | Off | M;326;0,0000
Biquini Marina | Off | M;327;0,0000
Biquini Marina | Off | P;326;0,0000
Biquini Marina | Off Textura | G;337;0,0000
Biquini Marina | Off Textura | M;336;0,0000
Biquini Marina | Off Textura | P;335;0,0000
Biquini Marina | Preta | M;326;0,0000
Biquini Marina | Preta | P;326;0,0000
Biquini Marina | Preto | G;349;0,0000
Biquini Marina | Preto | M;348;0,0000
Biquini Marina | Preto | P;347;0,0000
Biquini Marina | Verde | G;352;0,0000
Biquini Marina | Verde | M;351;0,0000
Biquini Marina | Verde | P;350;0,0000
Biquini Marina | Verde Claro | G;334;0,0000
Biquini Marina | Verde Claro | M;333;0,0000
Biquini Marina | Verde Claro | P;332;0,0000
Biquini Nadia | Azul Claro | G;367;0,0000
Biquini Nadia | Azul Claro | M;366;0,0000
Biquini Nadia | Azul Claro | P;365;0,0000
Biquini Nadia Bi | Off/Marrom | G;355;0,0000
Biquini Nadia Bi | Off/Marrom | M;354;0,0000
Biquini Nadia Bi | Off/Marrom | P;353;0,0000
Biquini Nadia Bi | Preta/Off | G;364;0,0000
Biquini Nadia Bi | Preta/Off | M;363;0,0000
Biquini Nadia Bi | Preta/Off | P;362;0,0000
Biquini Nadia Bi | Verde Claro/Off | G;361;0,0000
Biquini Nadia Bi | Verde Claro/Off | M;360;0,0000
Biquini Nadia Bi | Verde Claro/Off | P;359;0,0000
Biquini Nadia Bi | Verde/Off | G;358;0,0000
Biquini Nadia Bi | Verde/Off | M;357;0,0000
Biquini Nadia Bi | Verde/Off | P;356;0,0000
Biquini Thais | Marrom/Off | G;388;0,0000
Biquini Thais | Marrom/Off | M;387;0,0000
Biquini Thais | Marrom/Off | P;386;0,0000
Biquini Thais | Preto/Off | G;394;-2,0000
Biquini Thais | Preto/Off | M;393;0,0000
Biquini Thais | Preto/Off | P;392;-1,0000
Biquini Thais | Verde/Off | G;391;0,0000
Biquini Thais | Verde/Off | M;390;0,0000
Biquini Thais | Verde/Off | P;389;0,0000
Bisc Leite Maltado Cobertura Chocolate Piraqu? 80G;91;-7,0000
Bisc Toddy Rech Choc 100G;66;-7,0000
Bisc Toddy Rech Morango 100G;71;-1,0000
Bisc Trakinas Limao 126G;96;-2,0000
Bisc. Cream Cracker Renata Integral 360G;79;0,0000
Bisc. Piraque Leite Maltado 160G;52;0,0000
Biscoito Maizena Marilan Chocolate 350G;93;-4,0000
Biscoito Piraque Brigadeiro 160G;60;-4,0000
Biscoito Piraque Limao 160G;88;0,0000
Biscoito Tri Maizena Chocolate 170G;77;0,0000
blusa  | Azul | 42;;-11,0000
blusa  | Azul | 44;;-1,0000
blusa  | vermelho | 42;;-4,0000
blusa  | vermelho | 44;;0,0000
BLUSA | Azul | 44;;0,0000
Blusa Prana | Cru;306;0,0000
Blusa Prana | Marrom;308;0,0000
Blusa Prana | Off;305;0,0000
Blusa Prana | Preta;309;-1,0000
Blusa Prana | Verde;307;0,0000
BOLA DA PA KG;;0,0000
Bolsa Palha | Marrom;316;-1,0000
Bolsa Prana | Marrom;313;0,0000
Bolsa Prana | Off;312;0,0000
Bolsa Prana | Preta;315;0,0000
Bolsa Prana | Verde;314;0,0000
Bota 7 Leguas Pta Pvc Capat 37;50;-4,0000
Brinco Pequeno | Prata;324;0,0000
Brinco Perola | Prata;325;0,0000
Brinco Prata Pedras | Cores;320;0,0000
Brownie De Chocolate;36;-9,0000
Burrata II | Grande;;0,0000
Burrata II | Media;;0,0000
Burrata II | Pequena;;0,0000
Caixa De Bombom Nestle 251G;98;-4,0000
Calca Trico | Off | G;243;0,0000
Calca Trico | Off | M;242;-3,0000
Calca Trico | Off | P;241;-1,0000
Camisa;;0,0000
CAMISA GOLA POLO | Azul | Pp;;0,0010
CAMISA POLO  | G;;0,0020
CAMISA POLO  | GG;;0,0020
CAMISA POLO  | M;;0,0020
CAMISA POLO  | P;;10,0000
Camisa Polo | 23216 | G;;0,0000
Camisa Polo | 23216 | GG;;0,0000
Camisa Polo | 23216 | M;;0,0000
Camisa Polo | 23216 | P;;-1,0000
Camisa Polo | 23223 | G;;0,0000
Camisa Polo | 23223 | GG;;0,0000
Camisa Polo | 23223 | M;;-3,0000
Camisa Polo | 23223 | P;;0,0000
Camisa Polo | 23230 | G;;0,0000
Camisa Polo | 23230 | GG;;0,0000
Camisa Polo | 23230 | M;;0,0000
Camisa Polo | 23230 | P;;0,0000
Camisa Polo | 23247 | G;;0,0000
Camisa Polo | 23247 | GG;;0,0000
Camisa Polo | 23247 | M;;0,0000
Camisa Polo | 23247 | P;;0,0000
Camisa Polo | 4074 | G;;0,0000
Camisa Polo | 4074 | GG;;0,0000
Camisa Polo | 4074 | M;;0,0000
Camisa Polo | 4074 | P;;0,0000
Camisa Polo | 4081 | G;;0,0000
Camisa Polo | 4081 | GG;;0,0000
Camisa Polo | 4081 | M;;0,0000
Camisa Polo | 4081 | P;;0,0000
Camisa Polo DS | Azul | G;;10,0000
Camisa Polo DS | Azul | GG;;10,0000
Camisa Polo DS | Azul | M;;10,0000
Camisa Polo DS | Azul | P;;10,0000
Camisa Polo DS | Branca | G;;10,0000
Camisa Polo DS | Branca | GG;;10,0000
Camisa Polo DS | Branca | M;;10,0000
Camisa Polo DS | Branca | P;;3,0000
Camisa Polo DS | Preta | G;;10,0000
Camisa Polo DS | Preta | GG;;10,0000
Camisa Polo DS | Preta | M;;10,0000
Camisa Polo DS | Preta | P;;10,0000
Camisa Polo DS | Verde | G;;10,0000
Camisa Polo DS | Verde | GG;;10,0000
Camisa Polo DS | Verde | M;;10,0000
Camisa Polo DS | Verde | P;;10,0000
Camisa Polo DS | vermelho | G;;10,0000
Camisa Polo DS | vermelho | GG;;10,0000
Camisa Polo DS | vermelho | M;;10,0000
Camisa Polo DS | vermelho | P;;10,0000
CAMISETA;;43,0000
CANETA AZUL;43;975,0000
caneta bic azul;;0,0000
Canga Prana | Cores;310;0,0000
Casquinha Recheada De Ovomaltine;37;-2,0000
Cebola;7;-3,0000
Cebola Crispy;15;-4,0000
Cebolinha  Cristal Pramesa 100G;56;0,0000
Cerejas Pramesa 120G;55;98,0000
Cerveja Therez?Polis Gold 500Ml;82;92,0000
Cerveja Therez?polis Gold 473Ml;61;100,0000
Cha Leao RCM;;-4,0000
Chapeu Pri | Cores;311;0,0000
CHARLIE BROW C/ SNOOPY;;0,0003
Cheddar;3;-4,0000
Cheetos 37G;106;0,0000
Chicken Burger;23;-15,0000
Choker | Cores;319;0,0000
Choker Luas | Prata;321;0,0000
Coador Zebina Arame 12,5Cm;103;-3,0000
Cobertura  Salsa;;-1,0000
Cobertura A?ucar com Canela;;-2,0000
Cobertura Banana com a??car;;0,0000
Cobertura Cheddar;;0,0000
Cobertura Chocolate branco;;-16,0000
Cobertura Chocolateao leite;;-1,0000
Cobertura Coco;;0,0000
Cobertura Doce de leite;;0,0000
Cobertura Napolitano;;0,0000
Cobertura Ovomaltine;;0,0000
Cobertura Queijo parmes?o;;0,0000
Cobertura Requeij?o;;0,0000
COCA COLA 2L;;-14,0000
Coca cola 3 litros;;50,0000
Coca-Cola Lata;;996,0000
Colar Prata | Cores;318;0,0000
Colar Prata Pedra | Cores;317;0,0000
Comp. L?Cteo Parmalat Max 380G;99;0,0000
Cond. Elseve Liso Dos Sonhos 200Ml;105;0,0000
CONJUNTO JULIA | Azul | G;;0,0000
CONJUNTO JULIA | Azul | M;;0,0000
CONJUNTO JULIA | Azul | P;;0,0000
CONJUNTO JULIA | ROSA | G;;0,0000
CONJUNTO JULIA | ROSA | M;;0,0000
CONJUNTO JULIA | ROSA | P;;0,0000
CONJUNTO JULIA | Verde | G;;0,0000
CONJUNTO JULIA | Verde | M;;20,0000
CONJUNTO JULIA | Verde | P;;20,0000
CONJUNTO LARA EM POLIAMIDA  | Azul | G;;0,0000
CONJUNTO LARA EM POLIAMIDA  | Azul | GG;;0,0000
CONJUNTO LARA EM POLIAMIDA  | Azul | M;;0,0000
CONJUNTO LARA EM POLIAMIDA  | Azul | P;;15,0000
CONJUNTO LARA EM POLIAMIDA  | Nud | G;;0,0000
CONJUNTO LARA EM POLIAMIDA  | Nud | GG;;0,0000
CONJUNTO LARA EM POLIAMIDA  | Nud | M;;0,0000
CONJUNTO LARA EM POLIAMIDA  | Nud | P;;0,0000
CONJUNTO LARA EM POLIAMIDA  | Preto | G;;0,0000
CONJUNTO LARA EM POLIAMIDA  | Preto | GG;;0,0000
CONJUNTO LARA EM POLIAMIDA  | Preto | M;;15,0000
CONJUNTO LARA EM POLIAMIDA  | Preto | P;;0,0000
CONJUNTO LARA EM POLIAMIDA  | Verde | G;;15,0000
CONJUNTO LARA EM POLIAMIDA  | Verde | GG;;0,0000
CONJUNTO LARA EM POLIAMIDA  | Verde | M;;0,0000
CONJUNTO LARA EM POLIAMIDA  | Verde | P;;0,0000
CONJUNTO LARA EM POLIAMIDA  | vermelho | G;;0,0000
CONJUNTO LARA EM POLIAMIDA  | vermelho | GG;;15,0000
CONJUNTO LARA EM POLIAMIDA  | vermelho | M;;0,0000
CONJUNTO LARA EM POLIAMIDA  | vermelho | P;;0,0000
C?pia -  Cobertura Chocolate branco;;0,0000
C?pia - Algod?o;;0,0000
C?pia - Amendoim Sem Pele Elma Chips;;0,0000
C?pia - Coca-Cola 2L;;0,0000
C?pia - MARGUERITA | Grande;;0,0000
C?pia - MARGUERITA | Media;;-2,0000
C?pia - MARGUERITA | Pequena;;0,0000
C?pia - REFRIGERANTE COCA-COLA LATA 350ML;;0,0000
C?pia - teste;;0,0000
CREME DE CABELO ELISA;;0,0010
CREME DE CABELO ELISA;;0,0000
Cropped Taiba | Cru | G;258;0,0000
Cropped Taiba | Cru | M;257;0,0000
Cropped Taiba | Cru | P;256;0,0000
DOCE DE LEITE PURO BALDE SANTA MARIA 4,6 KG;;4,0000
Doce de Leite Puro Santa Maria 1,2Kg;;11,0000
Doritos 48G;109;0,0000
Doritos 92G;107;0,0000
Double Cheeseburger;26;-1,0000
Downy Agua Fresca 500Ml;83;-33,0000
Dp-Brilhante Delicadeza Total 800G;112;-3,0000
ds;;0,0000
dsdsdssddsds;;0,0000
Elma A?ai Kg;;-5,0000
Ervilha Em Conserva;53;-1,0000
